漢字,漢字　県名入,ひらがな,English,標高,都道府県,エリア,緯度,経度,近くの町,,,,,
金華山,金華山　　宮城県,きんかさん,Kinkasan,445 ,宮城県,東北,38.295278,141.566667,石巻市,,,,,
小安峡,小安峡　　秋田県,おやすきょう,Oyasukyou,305 ,秋田県,東北,39.011547,140.660549,湯沢市,,,,,
田沢湖高原,田沢湖高原　　秋田県,たざわここうげん,Tazawakokougen,698 ,秋田県,東北,39.761511,140.760398,仙北市,,,,,
八幡平,八幡平　　秋田県,はちまんたい,Hachimantai,1613 ,秋田県,東北,39.9568117,140.8547867,鹿角市,,,,,
鳥海山北麓,鳥海山北麓　　秋田県,ちょうかいさん ほくろく,Choukaisan Hokuroku,985 ,秋田県,東北,,,由利本荘市,,,,,
秋田駒ヶ岳,秋田駒ヶ岳　　秋田県,あきたこまがたけ,Akita komagatke,1637 ,秋田県,東北,39.761105,140.799365,仙北市,,,,,
森吉山,森吉山　　秋田県,もりよしざん,Moriyoshizan,1454 ,秋田県,東北,39.9766222,140.5445983,北秋田市,,,,,
真昼岳,真昼岳　　秋田県,まひるだけ,Mahirudake,1059 ,秋田県,東北,39.4480566,140.6765634,美郷町,,,,,
太平山,太平山　　秋田県,たいへいざん,Taiheizan,1170 ,秋田県,東北,39.7970902,140.3106807,秋田市,,,,,
藤里駒ヶ岳,藤里駒ヶ岳　　秋田県,ふじさとこまがたけ,Fujisatokomagatake,1158 ,秋田県,東北,40.4129127,140.2512943,藤里町,,,,,
乳頭山（烏帽子岳）,乳頭山（烏帽子岳）　　秋田県,にゅうとうざん（えぼしだけ）,Nyuutouzan(Eboshidake) ,1478 ,秋田県,東北,39.8049357,140.8383381,仙北市,,,,,
虎毛山,虎毛山　　秋田県,とらけやま,Torakeyama,1433 ,秋田県,東北,38.9044237,140.6188169,湯沢市,,,,,
高館山, 高館山　　秋田県,たかだてやま,Takadateyama,293 ,秋田県,東北,39.3207316,140.2383268,由利本荘市,,,,,
秋田焼山,秋田焼山　　秋田県,あきたやけやま,Akita Yakeyama,1366 ,秋田県,東北,39.963525,140.7575508,仙北市,,,,,
鳳凰山,鳳凰山　　秋田県,ほうおうざん,Hououzan,521 ,秋田県,東北,40.2765137,140.6212833,大館市,,,,,
田代岳,田代岳　　秋田県,たしろだけ,Tashirodake,1178 ,秋田県,東北,40.4285942,140.4091552,大館市,,,,,
